,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Earnings From Equity Interest Net Of Tax,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Business,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,ticker,Write Off,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Otherunder Preferred Stock Dividend,Other Special Charges,Other Operating Expenses,Average Dilution Earnings,Selling And Marketing Expense,Gain On Sale Of Ppe,Impairment Of Capital Assets,Provision For Doubtful Accounts,Loss Adjustment Expense,Net Policyholder Benefits And Claims,Policyholder Benefits Gross,Policyholder Benefits Ceded,Earnings From Equity Interest,Total Other Finance Cost,Depreciation Income Statement,Preferred Stock Dividends,Other Taxes,Excise Taxes,Professional Expense And Contract Services Expense,Other Non Interest Expense,Rent Expense Supplemental,Rent And Landing Fees,Occupancy And Equipment,Insurance And Claims,Net Income From Tax Loss Carryforward,Net Income Extraordinary,Securities Amortization,Depletion Income Statement
2024-09-30,-9744000.0,0.336,884000000.0,-29000000.0,-29000000.0,383000000.0,182000000.0,1617000000.0,855000000.0,673000000.0,-96000000.0,96000000.0,,402256000.0,383000000.0,3196000000.0,654000000.0,1924000000.0,1915000000.0,0.2,0.2,383000000.0,383000000.0,383000000.0,,383000000.0,,383000000.0,,194000000.0,577000000.0,-30000000.0,-1000000.0,-28000000.0,,31000000.0,-1000000.0,-96000000.0,96000000.0,,703000000.0,1579000000.0,,1590000000.0,,,,2282000000.0,1617000000.0,3899000000.0,3899000000.0,KVUE,0.0,,,,,,-3000000.0,10000000.0,,,0.0,,,,,,,,,,,-21000000.0,,,,,,,,,,,
2024-06-30,-60092307.692308,0.107692,870000000.0,-558000000.0,-558000000.0,58000000.0,141000000.0,1635000000.0,312000000.0,171000000.0,-92000000.0,106000000.0,14000000.0,555907692.307692,58000000.0,3288000000.0,154000000.0,1920000000.0,1915000000.0,0.03,0.03,58000000.0,58000000.0,58000000.0,,58000000.0,,58000000.0,,7000000.0,65000000.0,-555000000.0,3000000.0,-558000000.0,,48000000.0,,-92000000.0,106000000.0,14000000.0,712000000.0,1653000000.0,,1641000000.0,,,,2365000000.0,1635000000.0,4000000000.0,4000000000.0,KVUE,22000000.0,,,,,,2000000.0,12000000.0,,,0.0,488000000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,14000000.0,,,,,,,,,,,,,,,,,,,,-1000000.0,,,,-27000000.0,,,14000000.0,,,,,,,,,,,,KVUE,,,,,,,2000000.0,,,,0.0,68000000.0,,,,,,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KVUE,,,,,,,6000000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,0.0,0.238,1083000000.0,,,547000000.0,185000000.0,1908000000.0,1083000000.0,898000000.0,-180000000.0,180000000.0,,547000000.0,547000000.0,3265000000.0,898000000.0,1362800000.0,1358300000.0,0.4,0.4,547000000.0,547000000.0,547000000.0,,547000000.0,,547000000.0,,171000000.0,718000000.0,,,,,,,-180000000.0,180000000.0,,898000000.0,1357000000.0,,1356000000.0,,,,2255000000.0,1908000000.0,4163000000.0,4163000000.0,KDP,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,0.0,0.217,971000000.0,,,517000000.0,163000000.0,1650000000.0,971000000.0,808000000.0,-148000000.0,148000000.0,,517000000.0,517000000.0,2834000000.0,801000000.0,1362200000.0,1357100000.0,0.38,0.38,517000000.0,517000000.0,517000000.0,,517000000.0,,517000000.0,,143000000.0,660000000.0,7000000.0,7000000.0,,,,,-148000000.0,148000000.0,,801000000.0,1184000000.0,,1192000000.0,,,,1985000000.0,1650000000.0,3635000000.0,3635000000.0,KDP,,,,,,,,-8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,-46753246.753247,0.064935,996000000.0,-720000000.0,-720000000.0,-144000000.0,183000000.0,1793000000.0,276000000.0,93000000.0,-247000000.0,247000000.0,,529246753.246753,-144000000.0,3289000000.0,63000000.0,1362000000.0,1356500000.0,-0.11,-0.11,-144000000.0,-144000000.0,-144000000.0,,-144000000.0,,-144000000.0,,-10000000.0,-154000000.0,-688000000.0,32000000.0,-720000000.0,,,,-247000000.0,247000000.0,,781000000.0,1496000000.0,,1297000000.0,,,,2277000000.0,1793000000.0,4070000000.0,4070000000.0,KDP,,,,,,,,199000000.0,,,,718000000.0,,,,,,,,,,,,,,,,,,,,,
2024-09-30,0.0,0.232,1083000000.0,0.0,0.0,616000000.0,175000000.0,1751000000.0,1083000000.0,908000000.0,-106000000.0,106000000.0,,616000000.0,616000000.0,2989000000.0,902000000.0,1361900000.0,1356200000.0,0.45,0.45,616000000.0,616000000.0,616000000.0,,616000000.0,,616000000.0,,186000000.0,802000000.0,6000000.0,6000000.0,0.0,,,,-106000000.0,106000000.0,,902000000.0,1238000000.0,,1245000000.0,,,,2140000000.0,1751000000.0,3891000000.0,3891000000.0,KDP,,,,,,,,-7000000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2024-06-30,0.0,0.234,1081000000.0,,,515000000.0,205000000.0,1750000000.0,1081000000.0,876000000.0,-204000000.0,204000000.0,,515000000.0,515000000.0,3061000000.0,861000000.0,1361200000.0,1355600000.0,0.38,0.38,515000000.0,515000000.0,515000000.0,,515000000.0,,515000000.0,,157000000.0,672000000.0,15000000.0,15000000.0,,,,,-204000000.0,204000000.0,,861000000.0,1311000000.0,,1295000000.0,,,,2172000000.0,1750000000.0,3922000000.0,3922000000.0,KDP,,,,,,,,16000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000.0,7000000.0,,,,,,,,,,,,,,,,,,,KDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,KDP,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2025-06-30,0.0,0.214,,,,423000000.0,8000000.0,,,,1141000000.0,966000000.0,2107000000.0,423000000.0,425000000.0,,,1107210000.0,1100033000.0,0.35,0.35,389000000.0,389000000.0,425000000.0,,425000000.0,2000000.0,423000000.0,,116000000.0,539000000.0,,,,,,0.0,,,,,,,739000000.0,715000000.0,,705000000.0,,,1783000000.0,1783000000.0,KEY,,,,,,,,,,24000000.0,,,,,,,,,,,36000000.0,,,,277000000.0,10000000.0,10000000.0,90000000.0,,,,,
2025-03-31,0.0,0.212,,0.0,0.0,406000000.0,3000000.0,,,,1096000000.0,974000000.0,2070000000.0,406000000.0,405000000.0,,,1106140000.0,1096654000.0,0.33,0.34,369000000.0,369000000.0,405000000.0,,405000000.0,-1000000.0,406000000.0,,109000000.0,515000000.0,,,0.0,,,0.0,,,,,,,712000000.0,691000000.0,,680000000.0,,,1724000000.0,1724000000.0,KEY,,,,,,,,,,21000000.0,,,,,,,,,,,36000000.0,,,,292000000.0,11000000.0,11000000.0,87000000.0,,,,,
2024-12-31,0.0,0.21,,,,-244000000.0,5000000.0,,,,1051000000.0,1081000000.0,2132000000.0,-244000000.0,-244000000.0,,,986829000.0,986829000.0,-0.28,-0.28,-279000000.0,-279000000.0,-244000000.0,,-244000000.0,0.0,-244000000.0,,-169000000.0,-413000000.0,,,,,,-908000000.0,,,,,,,780000000.0,747000000.0,,732000000.0,,,793000000.0,793000000.0,KEY,,,,,,,,,,33000000.0,,,,,,,,,,,35000000.0,,,,330000000.0,15000000.0,15000000.0,87000000.0,,,,,
2024-09-30,0.0,0.188,,,,-411000000.0,19000000.0,,,,952000000.0,1223000000.0,2175000000.0,-411000000.0,-410000000.0,,,957929000.0,948979000.0,-0.47,-0.47,-446000000.0,-446000000.0,-410000000.0,,-410000000.0,1000000.0,-411000000.0,,-95000000.0,-506000000.0,,,,,,-935000000.0,,,,,,,705000000.0,684000000.0,,670000000.0,,,642000000.0,642000000.0,KEY,,,,,,,,,,21000000.0,,,,,,,,,,,36000000.0,,,,262000000.0,14000000.0,14000000.0,86000000.0,,,,,
2024-06-30,0.0,0.185075,,,,273000000.0,25000000.0,,,,887000000.0,1201000000.0,2088000000.0,273000000.0,274000000.0,,,938487000.0,931726000.0,0.25,0.25,238000000.0,238000000.0,274000000.0,0.0,274000000.0,1000000.0,273000000.0,,62000000.0,335000000.0,,,,,,-10000000.0,,,,,,,674000000.0,653000000.0,,636000000.0,,,1477000000.0,1477000000.0,KEY,,,,,,,,,,21000000.0,,,,,,,,,,,36000000.0,,,,282000000.0,17000000.0,17000000.0,86000000.0,,,,,
2024-03-31,,,,-29000000.0,-29000000.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,-29000000.0,,,,,,,,,,,,,,,,,,KEY,,,,,,,29000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,KEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-31,0.0,0.208,336000000.0,,,191000000.0,67000000.0,518000000.0,336000000.0,269000000.0,3000000.0,28000000.0,31000000.0,191000000.0,191000000.0,1118000000.0,234000000.0,173000000.0,172000000.0,1.1,1.11,191000000.0,191000000.0,191000000.0,,191000000.0,,191000000.0,,50000000.0,241000000.0,4000000.0,4000000.0,,,,,3000000.0,28000000.0,31000000.0,234000000.0,600000000.0,250000000.0,354000000.0,,,,834000000.0,518000000.0,1352000000.0,1352000000.0,KEYS,,,,,,,,-4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30,0.0,0.195,408000000.0,,,257000000.0,68000000.0,492000000.0,408000000.0,340000000.0,1000000.0,20000000.0,21000000.0,257000000.0,257000000.0,1099000000.0,207000000.0,173000000.0,172000000.0,1.49,1.49,257000000.0,257000000.0,257000000.0,,257000000.0,,257000000.0,,63000000.0,320000000.0,112000000.0,112000000.0,,,,,1000000.0,20000000.0,21000000.0,207000000.0,607000000.0,250000000.0,360000000.0,,,,814000000.0,492000000.0,1306000000.0,1306000000.0,KEYS,,,,,,,,-3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-31,0.0,0.153,285000000.0,,,169000000.0,66000000.0,478000000.0,285000000.0,219000000.0,-1000000.0,20000000.0,19000000.0,169000000.0,169000000.0,1080000000.0,218000000.0,174000000.0,173000000.0,0.97,0.97,169000000.0,169000000.0,169000000.0,,169000000.0,,169000000.0,,30000000.0,199000000.0,-18000000.0,-18000000.0,,,,,-1000000.0,20000000.0,19000000.0,218000000.0,602000000.0,249000000.0,361000000.0,,,,820000000.0,478000000.0,1298000000.0,1298000000.0,KEYS,,,,,,,,-8000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-31,0.0,0.21,339000000.0,,,-73000000.0,68000000.0,485000000.0,339000000.0,271000000.0,-2000000.0,23000000.0,21000000.0,-73000000.0,-73000000.0,1057000000.0,230000000.0,173000000.0,173000000.0,-0.42,-0.42,-73000000.0,-73000000.0,-73000000.0,,-73000000.0,,-73000000.0,,321000000.0,248000000.0,20000000.0,20000000.0,,,,,-2000000.0,23000000.0,21000000.0,230000000.0,572000000.0,233000000.0,343000000.0,,,,802000000.0,485000000.0,1287000000.0,1287000000.0,KEYS,,,,,,,,-4000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,0.0,0.21,298000000.0,,,389000000.0,64000000.0,462000000.0,298000000.0,234000000.0,-2000000.0,21000000.0,19000000.0,389000000.0,389000000.0,1012000000.0,205000000.0,175000000.0,174000000.0,2.22,2.23,389000000.0,389000000.0,389000000.0,,389000000.0,,389000000.0,,-176000000.0,213000000.0,10000000.0,10000000.0,,,,,-2000000.0,21000000.0,19000000.0,205000000.0,550000000.0,226000000.0,329000000.0,,,,755000000.0,462000000.0,1217000000.0,1217000000.0,KEYS,,,,,,,,-5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,0.0,0.226,802000000.0,,,441000000.0,222000000.0,2707000000.0,802000000.0,580000000.0,-62000000.0,67000000.0,5000000.0,441000000.0,509000000.0,3571000000.0,592000000.0,333300000.0,332679739.0,1.53,1.53,509000000.0,509000000.0,509000000.0,-3000000.0,512000000.0,68000000.0,444000000.0,47000000.0,116000000.0,513000000.0,-17000000.0,-17000000.0,,,,,-62000000.0,67000000.0,5000000.0,592000000.0,864000000.0,,863000000.0,,,,1456000000.0,2707000000.0,4163000000.0,4163000000.0,KMB,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,0.0,0.238,976000000.0,,,567000000.0,218000000.0,3107000000.0,976000000.0,758000000.0,-57000000.0,64000000.0,7000000.0,567000000.0,567000000.0,4071000000.0,769000000.0,333300000.0,331900000.0,1.7,1.71,567000000.0,567000000.0,567000000.0,-6000000.0,573000000.0,,573000000.0,44000000.0,165000000.0,694000000.0,-18000000.0,-18000000.0,,,,,-57000000.0,64000000.0,7000000.0,769000000.0,964000000.0,,941000000.0,,,,1733000000.0,3107000000.0,4840000000.0,4840000000.0,KMB,,,,,,,,23000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,0.0,0.148225,760000000.0,0.0,0.0,447000000.0,217000000.0,3253000000.0,760000000.0,543000000.0,-53000000.0,64000000.0,11000000.0,447000000.0,447000000.0,4380000000.0,548000000.0,334400000.0,331800000.0,1.34,1.34,447000000.0,447000000.0,447000000.0,-5000000.0,452000000.0,,452000000.0,44000000.0,71000000.0,479000000.0,-16000000.0,-16000000.0,0.0,,,,-53000000.0,64000000.0,11000000.0,548000000.0,1127000000.0,,1109000000.0,,,,1675000000.0,3253000000.0,4928000000.0,4928000000.0,KMB,,,,,,,,18000000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2024-09-30,-19885000.0,0.205,1445000000.0,-97000000.0,-97000000.0,907000000.0,191000000.0,3168000000.0,1348000000.0,1157000000.0,-49000000.0,67000000.0,18000000.0,984115000.0,907000000.0,3701000000.0,1154000000.0,337200000.0,335925926.0,2.69,2.7,907000000.0,907000000.0,907000000.0,-8000000.0,915000000.0,,915000000.0,48000000.0,223000000.0,1090000000.0,-112000000.0,-15000000.0,-97000000.0,,,,-49000000.0,67000000.0,18000000.0,1251000000.0,533000000.0,,1097000000.0,,,,1784000000.0,3168000000.0,4952000000.0,4952000000.0,KMB,,,,,,,,-564000000.0,,,,97000000.0,,,,,,,,,,,,,,,,,,,,,
2024-06-30,0.0,0.130152,721000000.0,0.0,0.0,455000000.0,188000000.0,2637000000.0,721000000.0,533000000.0,-63000000.0,72000000.0,9000000.0,455000000.0,544000000.0,3692000000.0,539000000.0,338000000.0,337000000.0,1.61,1.61,544000000.0,544000000.0,544000000.0,-9000000.0,553000000.0,89000000.0,464000000.0,63000000.0,60000000.0,461000000.0,-15000000.0,-15000000.0,0.0,,,,-63000000.0,72000000.0,9000000.0,539000000.0,1055000000.0,,967000000.0,,,,1594000000.0,2637000000.0,4231000000.0,4231000000.0,KMB,,,,,,,,88000000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2023-12-31,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,KMB,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2025-06-30,82013.097277,0.002622,345823000.0,31275000.0,31275000.0,162986000.0,156323000.0,161870000.0,377098000.0,220775000.0,-69142000.0,81204000.0,,131793013.097277,162986000.0,350640000.0,205812000.0,675079000.0,674613000.0,0.23,0.23,154817000.0,154808000.0,162986000.0,-1956000.0,164942000.0,,164942000.0,25737000.0,366000.0,139571000.0,34178000.0,2903000.0,-7645000.0,,0.0,38920000.0,-69142000.0,81204000.0,,174535000.0,188770000.0,,32447000.0,32447000.0,32447000.0,,363305000.0,161870000.0,525175000.0,525175000.0,KIM,,156323000.0,156323000.0,,,622000.0,,,9000.0,,,7645000.0,,,,,,,-12062000.0,,7556000.0,,,,,4242000.0,,,,,,,
2025-03-31,1430.468799,0.004158,350069000.0,344000.0,344000.0,132817000.0,158453000.0,163648000.0,350413000.0,191960000.0,-69108000.0,80377000.0,,132474430.468799,132817000.0,356493000.0,180484000.0,677299000.0,677074000.0,0.18,0.18,125134000.0,125134000.0,132817000.0,-1686000.0,134503000.0,,134503000.0,23384000.0,464000.0,111583000.0,560000.0,216000.0,-534000.0,,0.0,878000.0,-69108000.0,80377000.0,,180131000.0,192845000.0,,34392000.0,34392000.0,34392000.0,,372976000.0,163648000.0,536624000.0,536624000.0,KIM,,158453000.0,158453000.0,,,,,,,,,534000.0,,,,,,,-11269000.0,,7683000.0,,,,,4184000.0,,,,,,,
2024-12-31,13650.0,0.21,340043000.0,65000.0,65000.0,166038000.0,156130000.0,168104000.0,340108000.0,183978000.0,-83684000.0,83684000.0,,165986650.0,166038000.0,359136000.0,166392000.0,674531000.0,673676000.0,0.23,0.23,150378000.0,150378000.0,166038000.0,-1961000.0,167999000.0,,167999000.0,20767000.0,-46938000.0,100294000.0,17717000.0,17652000.0,-199000.0,,0.0,264000.0,-83684000.0,83684000.0,,166261000.0,191032000.0,,34902000.0,34902000.0,34902000.0,,357293000.0,168104000.0,525397000.0,525397000.0,KIM,,156130000.0,156130000.0,,,,,,,,,199000.0,,,,,,,,,7899000.0,,,,,4093000.0,,,,,,,
2024-09-30,278.125719,0.001091,338006000.0,255000.0,255000.0,135983000.0,144688000.0,157979000.0,338261000.0,193573000.0,-76216000.0,76216000.0,,135728278.125719,135983000.0,336517000.0,171291000.0,671577000.0,671231000.0,0.19,0.19,128022000.0,128022000.0,135983000.0,-2443000.0,138426000.0,,138426000.0,21197000.0,128000.0,117357000.0,22458000.0,22203000.0,-375000.0,,0.0,630000.0,-76216000.0,76216000.0,,171115000.0,178538000.0,,33850000.0,33850000.0,33850000.0,,349653000.0,157979000.0,507632000.0,507632000.0,KIM,,144688000.0,144688000.0,,,,,,,,,375000.0,,,,,,,,,7961000.0,,,,,4239000.0,,,,,,,
2024-06-30,-307.920537,0.002333,314645000.0,-132000.0,-132000.0,119738000.0,148148000.0,158157000.0,314513000.0,166365000.0,-68590000.0,73341000.0,,119869692.079463,119738000.0,339395000.0,160710000.0,671384000.0,671198000.0,0.17,0.17,111077000.0,111077000.0,119738000.0,-2314000.0,122052000.0,,122052000.0,29245000.0,217000.0,93024000.0,778000.0,910000.0,-201000.0,,0.0,69000.0,-68590000.0,73341000.0,,160836000.0,181238000.0,,33090000.0,33090000.0,33090000.0,,342074000.0,158157000.0,500231000.0,500231000.0,KIM,,148148000.0,148148000.0,,,700000.0,,,0.0,,,201000.0,,,,,,,-4751000.0,,7961000.0,,,,,4226000.0,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIM,,,,,,,,,,,,,,,,,,,-2519000.0,,,,,,,,,,,,,,
2025-06-30,0.0,0.193,1759000000.0,,,715000000.0,616000000.0,1827000000.0,1759000000.0,1143000000.0,-452000000.0,,,715000000.0,715000000.0,2899000000.0,1152000000.0,2222000000.0,2222000000.0,0.32,0.32,711000000.0,711000000.0,715000000.0,-27000000.0,742000000.0,,742000000.0,,177000000.0,919000000.0,228000000.0,22000000.0,,,,,-452000000.0,,,1143000000.0,1072000000.0,,188000000.0,188000000.0,188000000.0,,2215000000.0,1827000000.0,4042000000.0,3994000000.0,KMI,,,,,,4000000.0,,,,,,,,,,,,206000000.0,452000000.0,,,111000000.0,,,,,,,,,,,
2025-03-31,0.0,0.2,1755000000.0,,,717000000.0,610000000.0,2086000000.0,1755000000.0,1145000000.0,-451000000.0,,,717000000.0,717000000.0,3096000000.0,1145000000.0,2222000000.0,2222000000.0,0.32,0.32,713000000.0,713000000.0,717000000.0,-26000000.0,743000000.0,,743000000.0,,186000000.0,929000000.0,235000000.0,15000000.0,,,,,-451000000.0,,,1145000000.0,1010000000.0,,187000000.0,187000000.0,187000000.0,,2155000000.0,2086000000.0,4241000000.0,4196000000.0,KMI,,,,,,4000000.0,,,,,,,,,,,,220000000.0,451000000.0,,,112000000.0,,,,,,,,,,,
2024-12-31,0.0,0.2211,1780000000.0,,,667000000.0,596000000.0,1835000000.0,1780000000.0,1184000000.0,-442000000.0,,,667000000.0,667000000.0,2803000000.0,1108000000.0,2222000000.0,2222000000.0,0.3,0.3,663000000.0,663000000.0,667000000.0,-27000000.0,694000000.0,,694000000.0,,197000000.0,891000000.0,149000000.0,10000000.0,,,,,-442000000.0,,,1184000000.0,968000000.0,,182000000.0,182000000.0,182000000.0,,2152000000.0,1835000000.0,3987000000.0,3941000000.0,KMI,,,,,,4000000.0,,-81000000.0,,,,,,,,,,215000000.0,442000000.0,,,106000000.0,,,,,,,,,,,
2024-09-30,-148000.0,0.148,1604000000.0,-1000000.0,-1000000.0,625000000.0,587000000.0,1611000000.0,1603000000.0,1016000000.0,-466000000.0,,,625852000.0,625000000.0,2683000000.0,1015000000.0,2221000000.0,2221000000.0,0.28,0.28,621000000.0,621000000.0,625000000.0,-26000000.0,651000000.0,,651000000.0,,113000000.0,764000000.0,214000000.0,16000000.0,-1000000.0,-1000000.0,,,-466000000.0,,,1016000000.0,1072000000.0,,176000000.0,176000000.0,176000000.0,,2088000000.0,1611000000.0,3699000000.0,3656000000.0,KMI,,,,,,4000000.0,,-1000000.0,,,,,,,,,,199000000.0,466000000.0,,,107000000.0,,,,,,,,,,,
2024-06-30,0.0,0.218,1576000000.0,45000000.0,45000000.0,575000000.0,584000000.0,1551000000.0,1576000000.0,992000000.0,-464000000.0,,,575000000.0,575000000.0,2580000000.0,1038000000.0,2219000000.0,2219000000.0,0.26,0.26,572000000.0,572000000.0,575000000.0,-27000000.0,602000000.0,,602000000.0,,168000000.0,770000000.0,242000000.0,47000000.0,45000000.0,45000000.0,,,-464000000.0,,,992000000.0,1029000000.0,,179000000.0,179000000.0,179000000.0,,2021000000.0,1551000000.0,3572000000.0,3524000000.0,KMI,,,,,,3000000.0,,-1000000.0,,,,,,,,,,195000000.0,464000000.0,,,109000000.0,,,,,,,,,,,
2024-03-31,,,,32000000.0,32000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000000.0,32000000.0,,,,,,,,,,,,,,,,,KMI,,,,,,,,-41000000.0,,,32000000.0,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,,,,-1000000.0,-1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000000.0,-1000000.0,,,,,,,,,,,,,,,,,KMI,,,,,,,,4000000.0,,,-1000000.0,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,112925094.0,0.114,1316418000.0,990571000.0,990571000.0,510123000.0,,3950102000.0,2306989000.0,2306989000.0,31662000.0,778221000.0,809883000.0,-367522906.0,510123000.0,4675614000.0,,954209566.0,890716083.0,0.5,0.53,472387000.0,472387000.0,510123000.0,-844341000.0,1354464000.0,,1354464000.0,,174304000.0,1528768000.0,1169841000.0,-112385000.0,,,,990571000.0,31662000.0,778221000.0,809883000.0,327265000.0,725512000.0,,725512000.0,725512000.0,532413000.0,,1052777000.0,3950102000.0,5002879000.0,5002879000.0,KKR,,,,,,,,,0.0,,,,,,,,,291655000.0,,,37736000.0,,,,,34640000.0,34640000.0,,158459000.0,,,,
2025-03-31,95926544.0,0.112,638650000.0,856487000.0,856487000.0,-185924000.0,,3139368000.0,1495137000.0,1495137000.0,61787000.0,724070000.0,785857000.0,-946484456.0,-185924000.0,3761384000.0,,888246698.0,888246698.0,-0.22,-0.22,-199401000.0,-199401000.0,-185924000.0,-870422000.0,684498000.0,,684498000.0,,86569000.0,771067000.0,1415969000.0,267267000.0,,,,856487000.0,61787000.0,724070000.0,785857000.0,-706689000.0,622016000.0,,622016000.0,622016000.0,481897000.0,,-84673000.0,3139368000.0,3054695000.0,3054695000.0,KKR,,,,,,,,,0.0,,,,,,,,,292215000.0,,,13477000.0,,,,,34465000.0,34465000.0,,105654000.0,,,,
2024-12-31,118216100.024778,0.157268,1738758000.0,751687000.0,751687000.0,1125555000.0,,2251619000.0,2490445000.0,2490445000.0,-38196000.0,847832000.0,809636000.0,492084100.024778,1125555000.0,2907638000.0,,956267561.0,888222552.0,1.18,1.27,1125555000.0,1125555000.0,1125555000.0,-258728000.0,1384283000.0,,1384283000.0,,258330000.0,1642613000.0,1388067000.0,313863000.0,,,,751687000.0,-38196000.0,847832000.0,809636000.0,292742000.0,656019000.0,,656019000.0,656019000.0,535133000.0,,948761000.0,2251619000.0,3200380000.0,3200380000.0,KKR,,,,,,,,,0.0,,,,,,,,,322517000.0,,,,,,,,34428000.0,34428000.0,,86458000.0,,,,
2024-09-30,178526208.0,0.128,1050276000.0,1394736000.0,1394736000.0,600550000.0,,3845895000.0,2445012000.0,2445012000.0,54479000.0,800448000.0,854927000.0,-615659792.0,600550000.0,4667497000.0,,941967479.0,887444991.0,0.64,0.68,600550000.0,600550000.0,600550000.0,-834118000.0,1434668000.0,,1434668000.0,,209896000.0,1644564000.0,1526048000.0,-215083000.0,,,,1394736000.0,54479000.0,800448000.0,854927000.0,64037000.0,821602000.0,,821602000.0,821602000.0,574617000.0,,885639000.0,3845895000.0,4731534000.0,4731534000.0,KKR,,,,,,,,,0.0,,,,,,,,,346395000.0,,,,,,,,35837000.0,35837000.0,,211148000.0,,,,
2024-06-30,111996740.648898,0.179283,1434515000.0,624693000.0,624693000.0,667926000.0,,3127133000.0,2059208000.0,2059208000.0,54858000.0,849003000.0,903861000.0,155229740.648898,667926000.0,3880579000.0,,887439098.0,887439098.0,0.752644,0.752644,667926000.0,667926000.0,667926000.0,-325310000.0,993236000.0,,993236000.0,,216969000.0,1210205000.0,927905000.0,146476000.0,,,,624693000.0,54858000.0,849003000.0,903861000.0,227442000.0,753446000.0,,753446000.0,753446000.0,485186000.0,,980888000.0,3127133000.0,4108021000.0,4108021000.0,KKR,,,,,,,,,0.0,,,,,,,,,156736000.0,,,,,,,,23306000.0,23306000.0,,244954000.0,,,,
2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KKR,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
